Vegan,Range 1,Monday,Vegan Meal plan,"Breakfast
* 2 vegan pancakes
* 1/4 cup blackberries
* 1 Tbsp. peanut butter
Mix peanut butter with 1 tsp. warm water (or more, as needed, to thin out the peanut butter). Drizzle over pancakes.
A.M. Snack
* 3/4 cup edamame pods, seasoned with a pinch of salt
Lunch 
* 1 serving white bean Avocado Toast
* 1 cup sliced cucumber
P.M. Snack 
* 1 small plum
Dinner 
* 1 serving falafel salad with lemon-tahini dressing"
Vegan,Range 1,Tuesday,Vegan Meal plan,"Breakfast
* 1 serving Peanut butter & Chia Berry Jam English Muffin
A.M. Snack 
* 1/2 cup edamame pods, seasoned with a pinch of salt
Lunch 
* 4 cups White Bean & veggie Salad 
Dinner
* 2 cups black-bean Quinoa Buddha Bowl"
Vegan,Range 1,Wednesday,Vegan Meal plan,"Breakfast 
* 1 serving peanut butter banana toast
A.M. Snack 
* 2 Tbsp pumpkin seeds 
Lunch 
* 4 cups serving Green Salad with Edamame & Beets
P.M. Snack
* 2 cups air-popped popcorn
Dinner 
* 1 1/2 cups Roasted Cauliflower & Potato Curry Soup
* 1/2 small whole-wheat pita, toasted
* 1/3 cup hummus"
Vegan,Range 1,Thursday,Vegan Meal plan,"Breakfast 
* 1 serving peanut butter banana toast
A.M. Snack 
* 2 Tbsp pumpkin seeds 
Lunch 
* 4 cups serving Green Salad with Edamame & Beets
P.M. Snack
* 2 cups air-popped popcorn
Dinner 
* 1 1/2 cups Roasted Cauliflower & Potato Curry Soup
* 1/2 small whole-wheat pita, toasted
* 1/3 cup hummus"
Vegan,Range 1,Friday,Vegan Meal plan,"Breakfast 
* 2 Vegan Pancakes
* 1/4 cup blackberries
* 1 Tbsp. peanut butter
Lunch 
* 1 serving Veggie & Hummus Sandwich 
P.M. Snack
* 1/2 cup edamame pods, seasoned with a pinch of salt
Dinner
* 1 cup Chickpea Curry
* 1 cup Basic Quinoa"
Vegan,Range 2,Monday,Vegan Diet plan,"Breakfast
* 2 vegan pancakes
* 1/4 cup blackberries
* 1 Tbsp. peanut butter
Mix peanut butter with 1 tsp. warm water (or more, as needed, to thin out the peanut butter). Drizzle over pancakes.
A.M. Snack
* 3/4 cup edamame pods, seasoned with a pinch of salt
Lunch 
* 1 serving white bean Avocado Toast
* 1 cup sliced cucumber
P.M. Snack 
* 1 small plum
Dinner 
* 1 serving falafel salad with lemon-tahini dressing"
Vegan,Range 2,Tuesday,Vegan Diet plan,"Breakfast
* 1 serving Peanut butter & Chia Berry Jam English Muffin
A.M. Snack 
* 1/2 cup edamame pods, seasoned with a pinch of salt
Lunch 
* 4 cups White Bean & veggie Salad 
Dinner
* 2 cups black-bean Quinoa Buddha Bowl"
Vegan,Range 2,Wednesday,Vegan Diet plan,"Breakfast 
* 1 serving peanut butter banana toast
A.M. Snack 
* 2 Tbsp pumpkin seeds 
Lunch 
* 4 cups serving Green Salad with Edamame & Beets
P.M. Snack
* 2 cups air-popped popcorn
Dinner 
* 1 1/2 cups Roasted Cauliflower & Potato Curry Soup
* 1/2 small whole-wheat pita, toasted
* 1/3 cup hummus"
Vegan,Range 2,Thursday,Vegan Diet plan,"Breakfast 
* 1 serving peanut butter banana toast
A.M. Snack 
* 2 Tbsp pumpkin seeds 
Lunch 
* 4 cups serving Green Salad with Edamame & Beets
P.M. Snack
* 2 cups air-popped popcorn
Dinner 
* 1 1/2 cups Roasted Cauliflower & Potato Curry Soup
* 1/2 small whole-wheat pita, toasted
* 1/3 cup hummus"
Vegan,Range 2,Friday,Vegan Diet plan,"Breakfast 
* 2 Vegan Pancakes
* 1/4 cup blackberries
* 1 Tbsp. peanut butter
Lunch 
* 1 serving Veggie & Hummus Sandwich 
P.M. Snack
* 1/2 cup edamame pods, seasoned with a pinch of salt
Dinner
* 1 cup Chickpea Curry
* 1 cup Basic Quinoa"
